KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001102001,T001102002,T001102003,T001102004,T001102005,T001102006,T001102007,T001102008,T001102009,T001102010,T001102011,T001102012,T001102013,T001102014,T001102015,T001102016,T001102017,T001102018,T001102019,T001102020,T001102021,T001102022,T001102023,T001102024,T001102025,T001102026,T001102027,T001102028,T001102029,T001102030,T001102031,T001102032,T001102033,T001102034,T001102035,T001102036,T001102037,T001102038,T001102039,T001102040,T001102041,T001102042,T001102043,T001102044,T001102045,T001102046,T001102047,T001102048,T001102049,T001102050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
5240625941,1,,5240625943,62,30,32,3,3,0,61,28,33,29,14,15,60,28,32,60,28,32,32,14,18,20,8,12,3,1,2,0,0,0,1,0,1,29,29,7,17,2,3,1,0,0,22,20,2,1,18,0,4,9
5240625942,1,,5240625944,11,7,4,1,1,0,12,7,5,4,2,2,11,6,5,11,6,5,8,5,3,4,2,2,3,1,2,0,0,0,0,0,0,4,4,3,1,0,2,0,0,0,3,1,2,0,5,0,3,0
5240625943,2,5240625941,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240625944,2,5240625942,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240626022,2,5240626023,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240626023,1,,5240626022,10,4,6,0,0,0,15,7,8,7,3,4,15,7,8,15,7,8,8,4,4,2,1,1,0,0,0,0,0,0,0,0,0,6,6,2,5,1,0,0,0,0,6,6,0,0,6,0,1,3
5240626024,0,,,17,11,6,2,1,1,15,10,5,8,5,3,14,10,4,14,10,4,7,5,2,2,2,0,1,1,0,0,0,0,0,0,0,5,5,1,0,2,1,0,1,0,4,1,3,0,5,0,1,0
5240626044,0,,,15,7,8,0,0,0,15,7,8,7,3,4,14,7,7,14,7,7,8,4,4,4,2,2,1,1,0,0,0,0,0,0,0,4,4,0,0,2,1,1,0,0,4,2,2,0,4,0,0,0
5240626111,0,,,22,12,10,0,0,0,22,12,10,11,7,4,22,12,10,22,12,10,11,5,6,5,2,3,3,0,3,0,0,0,0,0,0,7,7,2,0,2,1,2,0,0,5,1,4,0,6,0,1,0
5240626113,0,,,31,13,18,6,2,4,25,11,14,12,5,7,25,11,14,25,11,14,13,6,7,4,2,2,1,0,1,0,0,0,0,0,0,10,10,2,4,2,0,0,0,2,8,6,2,1,8,0,1,2
5240626114,1,,5240626141,17,9,8,3,1,2,20,11,9,10,6,4,20,11,9,19,10,9,10,5,5,4,2,2,2,1,1,1,1,0,0,0,0,4,4,0,2,0,0,0,2,1,5,2,3,2,4,0,0,2
5240626131,1,,5240626132,11,6,5,0,0,0,14,7,7,5,3,2,14,7,7,14,7,7,9,4,5,4,1,3,2,0,2,1,0,1,0,0,0,6,6,2,3,2,0,0,0,0,5,5,0,0,6,0,1,1
5240626132,2,5240626131,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240626133,0,,,39,18,21,2,0,2,37,18,19,15,7,8,37,18,19,37,18,19,22,11,11,8,3,5,4,1,3,1,1,0,0,0,0,18,18,6,6,3,3,0,0,0,12,10,2,0,14,0,4,3
5240626134,0,,,15,8,7,0,0,0,15,8,7,2,2,0,15,8,7,15,8,7,13,6,7,7,3,4,2,1,1,0,0,0,0,0,0,8,8,1,7,0,0,0,0,0,7,6,1,0,8,0,1,5
5240626141,2,5240626114,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240626222,2,5240626224,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
